연도,월,지역명,평당분양가격,전용면적
2016,4,서울,20595.3,모든면적
2016,4,서울,21839.399999999998,60㎡
2016,4,서울,20446.8,60㎡~85㎡
2016,4,서울,26716.8,85㎡~102㎡
2016,4,서울,20964.899999999998,102㎡~
2016,4,인천,10685.4,모든면적
2016,4,인천,10965.9,60㎡
2016,4,인천,10385.099999999999,60㎡~85㎡
2016,4,인천,11698.5,85㎡~102㎡
2016,4,인천,15968.699999999999,102㎡~
2016,4,경기,10556.699999999999,모든면적
2016,4,경기,11220.0,60㎡
2016,4,경기,10701.9,60㎡~85㎡
2016,4,경기,11203.5,85㎡~102㎡
2016,4,경기,11916.3,102㎡~
2016,4,부산,10457.699999999999,모든면적
2016,4,부산,9810.9,60㎡
2016,4,부산,10187.099999999999,60㎡~85㎡
2016,4,부산,9669.0,85㎡~102㎡
2016,4,부산,12299.099999999999,102㎡~
2016,4,대구,10335.599999999999,모든면적
2016,4,대구,11025.3,60㎡
2016,4,대구,10454.4,60㎡~85㎡
2016,4,대구,8378.699999999999,85㎡~102㎡
2016,4,대구,9051.9,102㎡~
2016,4,광주,8910.0,모든면적
2016,4,광주,8580.0,60㎡
2016,4,광주,8896.8,60㎡~85㎡
2016,4,광주,9088.199999999999,85㎡~102㎡
2016,4,광주,11609.4,102㎡~
2016,4,대전,8081.7,모든면적
2016,4,대전,8345.699999999999,60㎡
2016,4,대전,8002.5,60㎡~85㎡
2016,4,대전,,85㎡~102㎡
2016,4,대전,,102㎡~
2016,4,울산,10137.599999999999,모든면적
2016,4,울산,8533.8,60㎡
2016,4,울산,10150.8,60㎡~85㎡
2016,4,울산,8787.9,85㎡~102㎡
2016,4,울산,9791.1,102㎡~
2016,4,세종,8844.0,모든면적
2016,4,세종,8764.8,60㎡
2016,4,세종,8906.699999999999,60㎡~85㎡
2016,4,세종,8758.199999999999,85㎡~102㎡
2016,4,세종,8956.199999999999,102㎡~
2016,4,강원,7062.0,모든면적
2016,4,강원,7071.9,60㎡
2016,4,강원,7203.9,60㎡~85㎡
2016,4,강원,,85㎡~102㎡
2016,4,강원,7755.0,102㎡~
2016,4,충북,6494.4,모든면적
2016,4,충북,6319.5,60㎡
2016,4,충북,6633.0,60㎡~85㎡
2016,4,충북,7510.799999999999,85㎡~102㎡
2016,4,충북,7461.299999999999,102㎡~
2016,4,충남,7157.7,모든면적
2016,4,충남,7573.5,60㎡
2016,4,충남,7128.0,60㎡~85㎡
2016,4,충남,8385.3,85㎡~102㎡
2016,4,충남,8705.4,102㎡~
2016,4,전북,6299.7,모든면적
2016,4,전북,6270.0,60㎡
2016,4,전북,6322.799999999999,60㎡~85㎡
2016,4,전북,7487.7,85㎡~102㎡
2016,4,전북,7854.0,102㎡~
2016,4,전남,6352.5,모든면적
2016,4,전남,6563.7,60㎡
2016,4,전남,6345.9,60㎡~85㎡
2016,4,전남,7464.599999999999,85㎡~102㎡
2016,4,전남,7180.799999999999,102㎡~
2016,4,경북,7184.099999999999,모든면적
2016,4,경북,7164.299999999999,60㎡
2016,4,경북,7223.7,60㎡~85㎡
2016,4,경북,8827.5,85㎡~102㎡
2016,4,경북,7636.2,102㎡~
2016,4,경남,7890.299999999999,모든면적
2016,4,경남,7962.9,60㎡
2016,4,경남,7883.7,60㎡~85㎡
2016,4,경남,10480.8,85㎡~102㎡
2016,4,경남,8778.0,102㎡~
2016,4,제주,8972.699999999999,모든면적
2016,4,제주,9414.9,60㎡
